model_short,activation_short,dataset_short,training_mode,non_square_kernels,group_label,lmbda,num_runs,num_seed_values,rate_mean,rate_std,rate_min,rate_max,quality_mean,quality_std,quality_min,quality_max,codec,codec_name,representation,eval_domain,psnr_amp_mean,psnr_amp_std,ssim_amp_mean,ssim_amp_std,encoding_time_mean_s,decoding_time_mean_s,resolved_rate_metric,resolved_quality_metric,curve_source,complex_corr_mean_mean,complex_corr_mean_std,phase_err_mean_mean,phase_err_mean_std,baseline_summary_csv,quality_metric
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,10.0,3,3.0,0.15972796579202017,0.016181475627814624,0.13716959953308103,0.17433886229991913,0.1635276849071185,0.029820323769693714,0.1215176358819008,0.18773339688777924,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,15.0,3,3.0,0.33153827985127765,0.013529186098214806,0.31594109535217285,0.34893396496772766,0.2446360339721044,0.008207193055645637,0.2330401986837387,0.2508692443370819,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,20.0,3,3.0,0.6787354350090027,0.01906075285927405,0.6616910696029663,0.7053431272506714,0.45150116086006165,0.007958645182047173,0.4417230486869812,0.4612173736095429,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,35.0,3,3.0,1.246736963589986,0.03654287474980055,1.2062439918518066,1.2947919368743896,0.5246539314587911,0.007369206304581274,0.5191720128059387,0.5350707769393921,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,50.0,3,3.0,1.736720045407613,0.018581339516755734,1.7178256511688232,1.7619833946228027,0.5594033797581991,0.002613658209220726,0.5558101534843445,0.5619505643844604,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,100.0,3,3.0,2.277925411860148,0.02656577621172681,2.2473788261413574,2.312140464782715,0.5805256764094034,0.008961556329037319,0.5722748041152954,0.5929821729660034,,,,,,,,,,,,,,,,,,,
SHyp,GDN,MAYA4DirDataModule,slc,True,SHyp-GDN | MAYA4DirDataModule | slc | nsk,1000.0,3,3.0,2.9988273779551187,0.016634145485884492,2.975303649902344,3.0107228755950928,0.6023419698079427,0.0076411710616036185,0.5918900966644287,0.6099448800086975,,,,,,,,,,,,,,,,,,,
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",5.0,32,,0.2015771865844726,0.0072457347525311,0.1950174967447916,0.22711181640625,0.0347578604860245,0.0144359679343643,0.020321892551660198,0.0491938284203888,jpeg,JPEG,channels,slc,26.374804139137268,5.920774720071023,0.0347578604860245,0.0144359679343643,0.0031209893750201,0.0018437104008626,bpp,test/ssim_amp,classical_codec,0.7368890251964331,0.0742781642736138,0.1716704536229372,0.045532089087597,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",10.0,32,,0.2516120274861654,0.0650041181492529,0.196746826171875,0.4606831868489583,0.0271500587114132,0.0446825240959994,0.0,0.0718325828074126,jpeg,JPEG,channels,slc,25.892502516508102,6.134349638719596,0.0271500587114132,0.0446825240959994,0.0030166213800839,0.0019949927227571,bpp,test/ssim_amp,classical_codec,0.6564185507595539,0.0766353843623759,0.23676073923707,0.0678444358934238,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",20.0,32,,0.6175737380981445,0.2946138533125154,0.2074686686197916,1.192352294921875,0.0267963132064323,0.0952676336735406,0.0,0.1220639468799729,jpeg,JPEG,channels,slc,23.3679501414299,6.464818244080051,0.0267963132064323,0.0952676336735406,0.0035505710402503,0.0030179196801327,bpp,test/ssim_amp,classical_codec,0.5255456725135446,0.1137817505112241,0.3849376402795315,0.1090709313914984,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",30.0,32,,1.0857884089152017,0.471950910123925,0.2396748860677083,1.9850056966145837,0.0327842702390626,0.106305151377754,0.0,0.1390894216168166,jpeg,JPEG,channels,slc,21.265032470226288,6.522821872437135,0.0327842702390626,0.106305151377754,0.0039535735013487,0.0039101263537304,bpp,test/ssim_amp,classical_codec,0.4551764107309282,0.1474658867427627,0.4786940664052963,0.1121558830576532,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",40.0,32,,1.5363893508911133,0.6133572549890118,0.3186848958333333,2.6754659016927085,0.0364569034572923,0.1076570551666525,0.0,0.1441139586239448,jpeg,JPEG,channels,slc,19.858167827129364,6.6175403598165525,0.0364569034572923,0.1076570551666525,0.0042812973879335,0.0047280364342441,bpp,test/ssim_amp,classical_codec,0.4305897793383337,0.1762032466629364,0.5302763152867556,0.1201853596178757,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",50.0,32,,1.9749848047892251,0.7266773260769606,0.433685302734375,3.2628377278645835,0.0423787055769935,0.10706593317433,0.0,0.1494446387513235,jpeg,JPEG,channels,slc,18.908191978931427,6.659571756993497,0.0423787055769935,0.10706593317433,0.0045891793342889,0.0054725292611692,bpp,test/ssim_amp,classical_codec,0.4304576729191467,0.1882610764244462,0.5642799697816372,0.1281235001697249,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",60.0,32,,2.452662467956543,0.8282147545492196,0.661224365234375,3.8505757649739594,0.0476892319711623,0.1067069740282231,0.0,0.15439620599938542,jpeg,JPEG,channels,slc,18.13416147232056,6.591738907800081,0.0476892319711623,0.1067069740282231,0.0049286658359051,0.0062566769011027,bpp,test/ssim_amp,classical_codec,0.4401106354780495,0.1936701313921811,0.5893997512757778,0.1326455318776122,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",70.0,32,,3.1402381261189776,0.9287107817210796,1.00726318359375,4.641326904296875,0.0551782253546662,0.1097750715767343,0.0,0.16495329693140048,jpeg,JPEG,channels,slc,17.502540335059166,6.402628456657459,0.0551782253546662,0.1097750715767343,0.0054157985832716,0.0073261057841591,bpp,test/ssim_amp,classical_codec,0.460608170600608,0.1996091668733448,0.606473084539175,0.1413363457800462,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",80.0,32,,4.158780097961426,1.0278483407360417,1.6056722005208333,5.746175130208333,0.0641835621354403,0.1214693489935256,0.0,0.1856529111289659,jpeg,JPEG,channels,slc,17.156912431120872,6.053671747561826,0.0641835621354403,0.1214693489935256,0.006125590429292,0.0087111610118881,bpp,test/ssim_amp,classical_codec,0.4923225929960608,0.1995388504461047,0.6114444527775049,0.1503894754374768,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",90.0,32,,6.092426300048828,1.0977314180123885,3.2721150716145835,7.754475911458333,0.0767820481851231,0.151552004299081,0.0,0.2283340524842041,jpeg,JPEG,channels,slc,17.27182850241661,5.789903405023317,0.0767820481851231,0.151552004299081,0.007481245254894,0.011355405258655,bpp,test/ssim_amp,classical_codec,0.5273354041855782,0.2048348910921237,0.5926507711410522,0.1606677232048147,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
JPEG,2xGray,MAYA4,slc,,"JPEG (2xGray, eval=slc)",95.0,32,,8.219538688659668,1.1987005846830614,5.219950358072917,10.127655029296877,0.0836609201724059,0.1716192891034416,0.0,0.2552802092758475,jpeg,JPEG,channels,slc,17.47803421318531,5.8276924754073525,0.0836609201724059,0.1716192891034416,0.0086557744725723,0.0136211811259272,bpp,test/ssim_amp,classical_codec,0.5410715043544769,0.2089992835758024,0.5759347546845675,0.1653127687643821,/lustre/projects/1001/rdelprete/MAYA_DC/notebooks/cache/jpeg_baseline_rcmc_channels_slc_summary.csv,test/ssim_amp
